tweet_id,tweet,"relevant_to? (R,P,O,N)","urgency_level (0,1,2)",type_of_information
2.33E+17,@user @user please rt. thanks. needs rescue!  #rescueph 6 monte carlo st. ciudad grande valenzuela city (near daland ...,R,0,Specific Rescue
2.33E+17,"@user the flood victims of manila need soap, pampers, water and hot food please. we are opening our malate branch  http:/ ...",R,0,"Logistical, Food"
2.33E+17,consolidated list of people who need rescuing. #rescueph,R,0,Logistical
2.33E+17,@user kalesas in manila still trying to make a living despite floods | via @nikobaua,N,,
2.33E+17,"@user you too, enjoy manila floods! wahaha! :))",N,,
2.33E+17,"@user heard that floods in manila are up to the neck, many people are in danger. please stay safe, praying for you #prayfort ...",N,,
2.33E+17,@user want to donate or to volunteer? check out this list: /via @user #rescueph,O,0,Aid
2.33E+17,"@user 18 mais street, tumana, marikina. - in 2nd floor. there are kids &amp; pwd. | 9435579464 @user spread! #rescueph",R,1,Specific Rescue
2.33E+17,@user animal rescue hotline: 817-5292. do not leave your pets behind. #rescueph,P,0,Animals
2.33E+17,"@user some good news, 300 persons rescued from tatalon qc. #rescueph",O,0,Disaster update
2.33E+17,"@user mayamot, antipolo rizal needs rescue. almost 2nd flr na yung tubig. naka salbabida na yung mga tao! #rescueph",R,1,General Rescue
2.33E+17,@user flood in the ust hospital is now on the 2nd floor. no food for the patients &amp; staff. pls. help! #rescueph @user ,R,1,"General Rescue, Food"
2.33E+17,metro manila flood updates: nlex is now north luzon express river . pls rt and spread.,P,0,"Informational, Disaster Update"
2.33E+17,flood can harm animals just as easily as it can harm people!place horses to safer place &amp; not take advantage for money from this! #rescueph,P,0,Animals
2.33E+17,"@user feu, science building. help is needed. there are 39 stranded students in there. #rescueph please send people there t ...",R,1,Specific Rescue
2.33E+17,"please help @mysheenahalili's lolo, lola and relatives in san nicolas san fernando pampanga.. nasa bubong na daw sila. #rescueph (retweeted)",R,1,General Rescue
2.33E+17,please retweet! teenager stranded in his house 8 st catherine street provident vill mrkna #rescueph #prayforthephilippines,R,1,Specific Rescue
2.33E+17,@user pls #rescueph all the families na nasa taas na ng bubong dito sa san nicolas san fernando pampanga! help them! pls rt!,R,1,General Rescue
2.33E+17,"@user @user pls rescue pwds in tahanang walang hagdan,#8 aida street,marick subd.cainta, rizal. #rescueph please pass! @user ",R,1,Specific Rescue
2.33E+17,philippine capital paralysed by floods - bbc news,O,0,Disaster update
2.33E+17,"@user mahigit 20,000 residente sa san mateo rizal, apektado sa mga pagbaha, ayon sa pdrrmc #dzbb via @user #rescueph",N,,
2.33E+17,"@user #rescueph provident village at marikina nagmistulang dagat n nman, madami pang dpt irescue n families doon. need help! @user ",R,1,General Rescue
2.33E+17,@user all donations brought to lbc will be sent to ph red cross evacuation centers /via @user #reliefph,O,0,Aid
2.33E+17,"good news indeed! ingat po. rt @user some good news, 300 persons rescued. from tatalon qc. #rescueph",O,0,Disaster update
2.33E+17,"@user photo from @user pablo ocampo, malate. taken across rizal memorial. #floodsph",O,0,"Informational, Photo"
2.33E+17,"@user mcdonald's stores open in metro manila are now accepting donations in kind (rice, noodles, canned goods, etc.) for flood vi ...",O,0,Aid
2.33E+17,"#rescueph residents of tahanang walang hagdan, #8 aida street, marick subd. cainta, rizal.",R,1,Specific Rescue
2.33E+17,"please rt! a certain rodrigo salvador is need of rescue. he is with 6 kids, 9 others. 184 kaliraya st., cluster 12, tatalon #rescueph",R,1,Specific Rescue
2.33E+17,#rescueph brgy. tatalon araneta ave corner victory quezon city,R,0,Non English
2.33E+17,"@user for rescue needs, tweet the details of the person &amp; exact place with the hashtag #rescueph. for relief efforts p ...",P,0,"Informational, Logistics"
2.33E+17,"@user those who need rescue, put a white blanket on roof of house or out your window so rescuers can see you.  #rescueph",P,0,Informational
2.33E+17,#reliefph rt @user let's help our countrymen most affected by the floods. donation boxes (cont),O,0,Aid
2.33E+17,"@user rt families stuck in the roof, 11 people, bayabas ext. nangka marikina, they need immediate help #rescueph @mmda",R,2,Specific Rescue
2.33E+17,@user university of santo tomas (ust) hospital needs food for the patients and staff. #rescueph,R,0,Food
2.33E+17,@user rt pls @user #reliefph all ayala malls accepting donations 4 flood victims.just go to concierge booths in ayala malls ...,"R,O",0,"Aid, Food"
2.33E+17,"#rescueph @user please help us seek rescue for our friend!:( jaja vigilia, 09159166833, #3 sampaguita st. ivc marikina city",R,0,Specific Rescue
2.33E+17,"@user smart subs, in case you run out of load. you get a lifeline of few more texts... simply dial *767 (*sos) #rescueph",P,0,Informational
2.33E+17,people at kingsville and filinvest east antipolo needs immediate help. yung ibang tao nasa bubong na daw. @user @user #rescueph,R,2,Specific Rescue
2.33E+17,@user please tweet and use hashtags #reliefph (relief ops) #rescueph (rescue concerns) #floodsph (flood news) #phalerts (gove ...,P,0,Informational
2.33E+17,@user youscoop: ue students spent the night in manila campus after flood prevented them from leaving,O,0,"Disaster Update, Informational"
2.33E+17,@user @user flood in ust hospital is now on the 2nd floor. no food for the patients n staff #rescueph @user ,R,1,"Specific Rescue, Food"
2.33E+17,"@user @user drinking water needed for 20-30 ppl at #177 rp palad st, moras dela paz, sto tomas,pampanga #rescueph #reliefph",R,0,Water
2.33E+17,"@user please send help #9 champaca st. de castro pasig city.. may 2 bata, isang baby at mga lola at lolo ko po andun #rescueph",R,1,Specific Rescue
2.33E+17,@user floods paralyse philippine capital @user @user umaasa na ang lahat ay mahusay,O,0,Disaster Update
2.33E+17,"@user lgus, schools extend class suspension until wednesday #floodsph  #weatheralert #noclasses","P,O",0,"Disaster Update, Informational"
2.33E+17,"@user rt @user @user sis pa rt, #rescueph my family needs boat to transfer 353 sta lucia paroba city of sn fdo pa ...",R,0,Logistical
2.33E+17,@user #rescueph rt @user if you know people who need to be rescued: please contact coast guard 0917-pcgdotc (0917-7243682),P,0,Informational
2.33E+17,"@user spread! families stuck in the roof, 11 people, bayabas ext. nangka marikina, they need immediate help #rescueph @mmda",R,2,Specific Rescue
2.33E+17,"#rescueph christianne mapue &amp; family , 63 caridad st, don pedro vil, valenzuela city. 0917-5562046. stranded in neck-deep flood. @mmda",R,1,Specific Rescue
2.33E+17,@user malanday marikina near natinal high school purok 3. melyn pabustan with 3 kids 09175119505 #rescueph,R,1,Specific Rescue
2.33E+17,"@user rt #rescueph jeremy orlina (ua&amp;p 1st yr) b4 l4 narra st., dacon homes, cainta, rizal 09179957335. flooding + in need of food",R,1,"Specific Rescue, Food"
2.33E+17,@user rt @user pls help the students in ust dorms!! my sister's blockmates are running out of food!!! #rescueph,R,1,"Specific Rescue, Food"
2.33E+17,"#rescueph @user families stuck on the roof,11 people , bayabas ext. nangka marikina!!!",R,1,Specific Rescue
2.33E+17,"#rescueph jeremy orlina (ua&amp;p 1st yr) b4 l4 narra st., dacon homes, cainta, rizal 09179957335. flooding + in need of food @divinemlee",R,1,"Specific Rescue, Food"
2.33E+17,@user photo by carlo gabuco @user photo: marikina river taken roughly at 5:45pm. #floodsph,O,0,"Informational, Disaster Update"
2.33E+17,@user rt @user no classes in manila tomorrow. all levels- mayor lim #floodsph,P,0,"Logistical, Informational"
2.33E+17,@user #rescueph @user 86 and 84 yr oldcouple stuck on rooftop since last night. 97 west riverside cor kentucky st. sdfm qc c ...,R,1,Specific Rescue
2.33E+17,"@user aliza libunao, 9 adults +1 child, 635 g. araneta ave. tatalon, q.c. 09268752213 #rescueph stranded on 3rd flr, flood  ...",R,1,Specific Rescue
2.33E+17,@user if you see animals or pets in need of rescue please contact peta. call 817-5292. thank you. #rescueph #floodmnl pls rt,P,0,Animals. Logistical
2.33E+17,@user we should not be just good samaritans but we need to be better samaritans. #rescueph #prayforthephilippines,O,0,Good Wishes
2.33E+17,@user two important hash tags to take note of: #rescueph #reliefph please make sure to use the correct one and rt! ...,P,0,"Logistical, Informational"
2.33E+17,"@user #rescueph please help! stranded ang mga residente ng b53 l12 teachers village catmon, malabon! staying on top of their roofs!",R,1,Specific Rescue
2.33E+17,#rescueph pregnant mom and small kids trapped in 5 feet flooded house #283 l.dela cruz st. brgy.isla valenzuela city. 09053920969,R,2,Specific Rescue
2.33E+17,bbc news - floods paralyse philippine capital manila,O,0,Disaster Update
2.33E+17,"@user photo: marikina river via marcos highway, photo by @user #floodsph",O,0,"Informational, Disaster Update"
2.33E+17,please rt. kindly course your donations through st.scholastica's college manila  hotline: 567-7686 to 89 #rescueph,O,0,Aid
2.33E+17,@user we'll be using the unified hashtags #reliefph (for relief ops); #rescueph (for rescue concerns); and #floodsph (for ge ...,P,0,"Logistical, Informational"
2.33E+17,@user saludo kami sa mga #rescueph team at sa mga volunteers. ndi pa sila kumakain pero deadma basta makatulong. #bayanihan,R,1,Foreign Language
2.33E+17,"@user anyone near ust hospital? they need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescueph",R,1,"Specific Rescue, Food"
2.33E+17,@user ma'am please r e t w e e t! uerm staff &amp; patients are in need of immediate action/help. #rescueph #reliefph,R,2,Specific Rescue
2.33E+17,@user @user malanday marikina near natinal high school purok 3. melyn pabustan with 3 kids 09175119505 #rescueph,R,1,Specific Rescue
2.33E+17,@user reported @user #rescueph florentino bernardo and company: antonette st.parkway villagd brgy apolonio samson. 09436051153,R,1,Specific Rescue
2.33E+17,@user hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims? - pls retweet this unt ...,O,0,Aid
2.33E+17,@user @user flood relief information #rescueph check poster for donation drop offs. share if u care! ...,O,0,Aid
2.33E+17,"@user photo of the flood in manila, philippines. the university of santos thomas field. (9/7/12)",O,0,"Picture, Disaster Update"
2.33E+17,"@user to ngos &amp; charity organizations: if not accredited by dswd, pls consign your imported donations to dswd.#reliefph |  ...",O,0,"Aid, Informational"
2.33E+17,@user if you need any help please use the hashtag #rescueph. rt please!,P,0,"Informational, Logistical"
2.33E+17,@user @user if you need any help please use the hashtag #rescueph. rt please!,P,0,"Informational, Logistical"
2.33E+17,@user hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims?,O,0,Aid
2.33E+17,@user pregnant joann fernandez need immideate #rescueph @ kaingin 2 st tenejeron malabon. shes in pain. @user @user ,R,2,Specific Rescue
2.33E+17,@user hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims? - pls retweet this until ...,O,0,Aid
2.33E+17,@user please po may mga bata pa sa adress na to. victoria martinez. 395 mh del pilar st maysilo malabon #rescueph @divinemlee,R,1,"Specific Rescue, Foreign Language"
2.33E+17,mt @user de la salle college of saint benilde: following the official announcement to suspend... #floodsph,O,0,Disaster Update
2.33E+17,"breaking: massive floods inundate manila, #philippines. 1 million people are affected &amp; thousands forced to evacuate",O,0,Disaster Update
2.33E+17,"rt: @user for those who can donate medicines, please let @user know asap. thank you! #reliefph",O,0,Aid
2.33E+17,hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims? 6,O,0,Aid
2.33E+17,the u.s. embassy here in manila looks like it is floating above the flood. it has been two weeks and the hea,O,0,"Informationa, Disaster Update"
2.33E+17,"@user anyone from malabon? pls help preggy joann fernandez, kids needing immediate #rescueph at kaingin 2 st. tenejeros, mala ...",R,2,Specific Rescue
2.33E+17,"@user melyn pabustan w/ 3 kids 09175119505 purok 3, malanday, marikina; their house is near the national high school #rescueph",R,1,Specific Rescue
2.33E+17,"@user please help the people of catmon, malabon. they've been submerged in floods since morning.#rescueph @user @user ",R,1,General Rescue
2.33E+17,"@user and #reliefph for details about relief operations, way to drop of donations, and other ways to help.",O,0,Aid
2.33E+17,#reliefph jollibee foundation coinbanks now accepts funds for flood-affected families,O,0,Aid
2.33E+17,"#rescueph live tv on your mobile, fufu",N,,
2.33E+17,@user ust hospital food shortage @user #rescueph,R,1,"Specific Rescue, Food"
2.33E+17,@user remember you can help the victims of the flood by donating to philippine red cross. more info on how here: ...,O,0,Aid
2.33E+17,torrential rains pounding the philippine capital on tuesday paralyzed traffic as waist-deep floods triggered...,O,0,"Informational, Disaster Update"
2.33E+17,"@user @user #rescueph my grandpa at camia st cor. cattleya twinville subd mrkna, he's 75yrs old &amp; nsa bubong sya since 10am. :(",R,1,Specific Rescue
2.33E+17,"aerial view of manila flood aug 7th, 2012 (please help): via @user from mikey bustos",R,0,Specific Rescue
2.33E+17,"@user #rescueph rescue needed gigi asuncion &amp; family (incl.1 yr old baby) &amp; 70 y/o dad. 507 kamagong st, st josep ...",R,1,Specific Rescue
2.33E+17,"@user rt feu, science building. help is needed. there are 39 stranded students in there. #rescueph please send people the ...",R,1,Specific Rescue
2.33E+17,@user @user public service announcement &gt; pls rt for faster response! help is on the way!  #rescueph #reliefph  ...,P,0,Informational
2.33E+17,does tweeting the contact details w hashtag #rescueph actually help? is there a number i can text to report people in danger?,R,0,Inquiry
2.33E+17,"@user #rescueph please rt!! fellow speducator, jaja vagilia, and her family needs rescue!! #3 sampaguita st. ivc marikina  ...",R,1,Specific Rescue
2.33E+17,@user rescue needed in romualdez st. cor kalentong. 1st house beside caltex. lolo and lola residing. #rescueph,R,1,Specific Rescue
2.33E+17,"@user grace chan &amp; sister, 504 mariano marcos, bgy. maytuna, san juan. injured and trapped in the 2ndflr #rescueph",R,1,Specific Rescue
2.33E+17,#rescueph tua and tua hs pls open your doors.,P,1,Specific Rescue
2.33E+17,#tbcbreaking rt@user photos: floods in manila are displacing tens of thousands of people |,O,0,"Informational, Disaster Update"
2.33E+17,keep calm and pack your things!! #rescueph #prayforthephilippines,P,0,Informational
2.33E+17,@user @user rt pls. #rescueph our warehouse caretaker in roda compound concepcion uno brgy.tumana is alone on the  ...,R,0,Specific Rescue
2.33E+17,@user #reliefph places where you can volunteer and/or send your donations,O,0,Aid
2.33E+17,donate to red cross. globe: red &lt;amt&gt; to 2899. smart: red &lt;amt&gt; to 4143. #reliefph,O,0,Aid
2.33E+17,#floodsph is the most helpful?,"P,R",0,Logistical
2.33E+17,@user please rt: ust hospital &amp; uerm medical center staff &amp; patients need foods. supply is very low.#reliefph @user ,R,0,"Specific Rescue, Food"
2.33E+17,@user please rt! nasa bubong with 1 y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina city 09172551204  #rescueph,R,1,Specific Rescue
2.33E+17,#rescueph 1000 tv channels on your cell phone? fufu,N,,
2.33E+17, rt@user @user @user #saveuerm! flood is about to reach the 3rd floor where the nursery is! pls rt!! #rescueph,R,1,General Rescue
2.33E+17,@user evac centers &amp; relief ops #rescueph,N,,
2.33E+17,@user situation in uerm hospital: flood about to reach the 3rd floor where the nursery is. #rescueph please help the babies :(,R,1,Specific Rescue
2.33E+17,"@user concepcion integrated school in marikina has 582 families, no food yet the whole day #rescueph @divinemlee",R,1,"Specific Rescue, Food"
2.33E+17,"@user @user feu,science building.help is needed.there are 39 stranded students in there.#rescueph please send people there  ...",R,1,Specific Rescue
2.33E+17,@user photos: floods in manila are displacing tens of thousands of people |,O,0,"Photo, Informational"
2.33E+17,@user lagay niyo address tapos hashtag sa #rescueph :( waa!!! baka may maka help!!,R,0,Foreign Language
2.33E+17,@user #floodsph fact: 90% of metro manila are flooded.,"P,O",0,"Informational, Disaster Update"
2.33E+17,cervini will be open 24/7 to accept your donations. :) #reliefph,O,0,Aid
2.33E+17,#rescueph the easiest way to get tv on your phone? fufu,N,,
2.33E+17,"@user rt @user boss sos generators abt to die ust hospital still no help.uerm,pgh too.pls rt thanks as always! #rescueph @user ",R,1,"Logistical, Generator"
2.33E+17,@user rt @user ust hospital is running out of food. they need help. @user @user @user #rescueph,R,1,Food
2.33E+17,@user @user @user @user #reliefph rt @user 2yo toddler stuck w/ 91 y.o.lola @ 2nd flr of hse. . ...,R,1,Specific Rescue
2.33E+17,"@user @user #rescueph rescue me, i'm drowning with all these daley feels",N,,
2.33E+17,"@user rt @user #rescueph roldan family,gen segundo st. heroes hills. the mother has cancer. theyre trapped on their roof ...",R,1,Specific Rescue
2.33E+17,"@user ust, uerm, pgh and delos santos hospital needs #rescueph @user @user @user @philredcross",R,1,Specific Rescue
2.33E+17,"@user uerm needs help! flood almost at the 3rd floor. generators about to die, patients in critical condition. #rescueph",R,2,Specific Rescue
2.33E+17,@user govph is using #phalerts for government advisories and #rescueph for rescue operations.,P,0,"Logistical, Informational"
2.33E+17,"@user we need help!!! 6 people inside house, along banawe cor macopa sta. mesa heights. please spread!!! #rescueph @user ",R,1,Specific Rescue
2.33E+17,"@user concepcion integrated school (marikina) has 582 families, no food yet the whole day. please rt #rescueph",R,0,Food
2.33E+17,"help uerm hospital! brownout &amp; icu patients on generator, generators about to die. flood almost at 3rd flr where the nursery is. #rescueph",R,1,"Logistical, Generator"
2.33E+17,"@user @user part rescuers! please go to ust hospital, mamatay na daw ang generator nila!!!! #rescueph",R,1,"Logistical, Generator"
2.33E+17,"still verifying reports that there is a flood casualty in calamba city, laguna #floodsph",O,0,Disaster development
2.33E+17,@user rt flood in uerm hospital is almost at 3rd floor where the nursery is. no rescuers the whole day. #rescueph,R,1,Specific Rescue
2.33E+17,@user rt @user @user @user #rescueph decastro brgy sta lucia metropolis 1 vill near court pasig city. abou ...,R,0,Foreign Language
2.33E+17,"@user rt the following are in need of help and rescue: pgh, uerm, ust hospital. they need food. #rescueph",R,0,"Specific Rescue, Food"
2.33E+17,"@user pgh, uerm, and ust hospital are flooded. supplies are running low. patients and staff need food and water. #rescueph",R,1,"Specific Rescue, Food"
2.33E+17,"@user uerm hospital: brownout and icu patients on generator, generators about to die #rescueph someone help them pls",R,1,"Specific Rescue, Generator"
2.33E+17,@user ust hospital is running out of food and the generators are about to die @user #rescueph #reliefph,R,1,"Specific Rescue, Generator"
2.33E+17,@user gma kapuso foundation #operationbayanihan relief ops hotline: (02) 981-1950 #reliefph #24oras,R,1,Specific Rescue
2.33E+17,@user uerm really needs help!! flood is almost at 3rd floor where the nursery is. no rescuers the whole day. #rescueph,R,1,Specific Rescue
2.33E+17,"rt@user @user christianne mapue 63 caridad st,don pedrovil,valzuelacity.09175562046.stranded in neck-deepflood. #rescueph",R,21,Specific Rescue
2.33E+17,@user ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph @themayorlim,R,1,"Specific Rescue, Generator"
2.33E+17,"@user generators and gas are needed at the pgh, uerm and ust. please send help. rt!!! #reliefph #rescueph",R,1,"Specific Rescue, Generator"
2.33E+17,"@user please send over food, water and blankets to trinity university of asia high school along e. rodriguez! thank you! #rescueph",R,1,"Specific Rescue, Food"
2.33E+17,"pgh hospital staff, residents, nurses, patients need food and water. pgh is isolated by flood. pls help if you can. #rescueph",R,1,"Specific Rescue, Food"
2.33E+17,"@user @user napadala na raw red cross sa uerm, as tweeted by @user of @user babies'll be safe. #yay #rescueph",R,0,Foreign Language
2.33E+17,"melyn pabustan with 3 kids purok 3, malanday, marikina; their house is near the national high school rt please #rescueph",R,1,Specific Rescue
2.33E+17,@user #rescueph rt @user nasa bubong with 1 y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina c ...,R,1,Specific Rescue
2.33E+17,@user ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph @user @user ,R,1,"Specific Rescue, Generator"
2.33E+17,"#rescueph wilma ubando payod w/ 3 kids purok 3, malanday, marikina; their house is near the national high school. @gmanews",R,1,Specific Rescue
2.33E+17,@user urgent  - help is needed in ust hospital. flood has reached the building's 2nd level.  #rescueph,R,1,Specific Rescue
2.33E+17,@user the generator of the hospital just died pls rescue the people @ ust uerm &amp; pgh hospital @user #rescueph rt &amp; spread! help please,R,1,"Specific Rescue, Generator"
2.33E+17,@user please rt! ust hospital's generator already died. please send some rescuers #rescueph,R,1,"Specific Rescue, Generator"
2.33E+17,"@user rt please! help po sa blk 2 lot 15 don fernando homes niugan, malabon city. #foodplease &amp; everyone in niugan #rescueph",R,1,"Specific Rescue, Food"
2.33E+17,"@user @user uerm hospital: brownout and icu patients on generator, generators about to die #rescueph please rt",R,1,"Specific Rescue, Generator"
2.33E+17,!!!!! rt @user please rt!! ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph,R,1,"Specific Rescue, Generator"
2.33E+17,"@user family needs rescuing. address: 55 guirayan st. brgy. dona imelda, araneta ave., qc. #rescueph pls rt",R,1,Specific Rescue
2.33E+17,@user please retweet rt @user ust hospital's generator already died!!! please send some rescuers! @user #rescueph ...,R,1,"Specific Rescue, Generator"
2.33E+17,rt: ust hospital's generator already died!!! please send some rescuers! #rescueph pls rt,R,1,"Specific Rescue, Generator"
2.33E+17,"@user #rescueph melyn pabustan w/ 3 kids 09175119505 purok 3, malanday, marikina; their house is near the national high school. ...",R,1,Specific Rescue
2.33E+17,@user rt: ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph @user @ ...,R,1,"Specific Rescue, Generator"
2.33E+17,@user @user @user ust hospital's generators already died. please send help. #rescueph #tulongtayotomasino #pray ...,R,1,"Specific Rescue, Generator"
2.33E+17,@user the generator of the hospital just died pls rescue the people @ ust uerm &amp; pgh hospital @user #rescueph rt &amp; spread!,R,1,"Specific Rescue, Generator"
2.33E+17,@user nasa bubong with 1y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina city 09172551204 #rescueph,R,1,Specific Rescue
